"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2023",30.315,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Female","Age (Aggregate bands): Total","2023",38.371,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2022",30.503,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Female","Age (Aggregate bands): Total","2022",38.525,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2021",30.163,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Female","Age (Aggregate bands): Total","2021",38.949,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2020",31.057,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Female","Age (Aggregate bands): Total","2020",40.195,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2019",29.487,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Female","Age (Aggregate bands): Total","2019",38.298,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2018",29.719,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Female","Age (Aggregate bands): Total","2018",38.576,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2017",29.323,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Female","Age (Aggregate bands): Total","2017",38.46,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2016",29.398,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Female","Age (Aggregate bands): Total","2016",38.631,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2015",28.98,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Female","Age (Aggregate bands): Total","2015",38.532,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2014",28.946,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Female","Age (Aggregate bands): Total","2014",38.3,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2013",28.53,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Female","Age (Aggregate bands): Total","2013",37.694,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Inactivity rate by sex and age (%)","Sex: Male","Age (Aggregate bands): Total","2012",28.387,,,,"Repository: ILO-STATISTICS - Micro data processing"
