"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Male","Status in employment (Aggregate): Total","2023",10579.676,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Female","Status in employment (Aggregate): Total","2023",9591.233,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Male","Status in employment (Aggregate): Total","2022",10316.131,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Female","Status in employment (Aggregate): Total","2022",9376.852,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Male","Status in employment (Aggregate): Total","2021",9973.231,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Female","Status in employment (Aggregate): Total","2021",8969.05,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Male","Status in employment (Aggregate): Total","2020",9540.011,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Female","Status in employment (Aggregate): Total","2020",8503.749,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Male","Status in employment (Aggregate): Total","2019",10039.801,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Female","Status in employment (Aggregate): Total","2019",9081.363,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Male","Status in employment (Aggregate): Total","2018",9842.063,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Female","Status in employment (Aggregate): Total","2018",8881.195,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Male","Status in employment (Aggregate): Total","2017",9662.92,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Female","Status in employment (Aggregate): Total","2017",8732.008,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Male","Status in employment (Aggregate): Total","2016",9442.901,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Female","Status in employment (Aggregate): Total","2016",8565.728,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Male","Status in employment (Aggregate): Total","2015",9417.829,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Female","Status in employment (Aggregate): Total","2015",8488.076,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Male","Status in employment (Aggregate): Total","2014",9346.007,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Female","Status in employment (Aggregate): Total","2014",8437.178,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Male","Status in employment (Aggregate): Total","2013",9290.707,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Employment by sex and status in employment (thousands)","Sex: Female","Status in employment (Aggregate): Total","2013",8421.458,,,,"Repository: ILO-STATISTICS - Micro data processing"
