"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2023",622.42,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2023",532.429,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2022",589.795,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2022",507.852,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2021",831.373,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2021",710.499,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2020",1033.902,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2020",894.936,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2019",649.005,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2019",504.724,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2018",640.82,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2018",519.72,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2017",712.99,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2017",550.319,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2016",789.741,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2016",573.63,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2015",765.024,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2015",571.404,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2014",756.338,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2014",586.904,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2013",759.358,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2013",603.184,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2012",774.981,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2012",619.996,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2011",793.566,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2011",632.329,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2010",868.941,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2010",643.178,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2009",930.141,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2009",618.311,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2008",648.383,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2008",491.317,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2007",613.611,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2007",485.692,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2006",628.764,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2006",509.197,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2005",647.182,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2005",521.442,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2004",683.832,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2004",548.234,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2003",718.982,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Unemployment by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2003",564.332,,,,"Repository: ILO-STATISTICS - Micro data processing"
