"Location","Time","TPopulation1July","Deaths","LEx","LE15","LE65","LE80","Q0040","Q0060","Q1550","Q1560","Gender"
"Japan",1950,44667.896,464.077,60.8846,52.4544,12.9981,5.4555,195.996,336.6836,164.4963,262.3031,"Female"
"Japan",1951,45348.902,430.938,62.6132,53.9143,13.2461,5.6516,171.9228,306.8443,140.058,234.5197,"Female"
"Japan",1952,45973.973,393.936,64.67,55.0883,13.528,5.7968,145.1796,275.9939,120.6042,213.2239,"Female"
"Japan",1953,46551.95,397.578,65.0664,55.2379,13.1428,5.428,134.8703,263.4861,111.5973,203.0246,"Female"
"Japan",1954,47080.659,364.035,66.5677,56.3501,13.9391,5.9885,124.4422,245.6171,103.951,189.6841,"Female"
"Japan",1955,47581.019,349.833,67.7663,56.9478,14.0951,6.047,109.8072,227.2488,95.615,178.0872,"Female"
"Japan",1956,48031.628,365.975,67.6673,56.7527,13.6646,5.6656,105.7258,223.6127,91.318,175.3539,"Female"
"Japan",1957,48408.83,378.453,67.6197,56.5268,13.3817,5.4392,103.5836,221.7684,91.7904,175.4364,"Female"
"Japan",1958,48774.444,342.514,69.3085,57.8463,14.2637,6.0461,91.7709,201.7866,81.9653,159.9138,"Female"
"Japan",1959,49160.116,343.797,69.7836,58.0904,14.292,5.971,86.2454,194.284,78.2858,155.0017,"Female"
"Japan",1960,49546.76,351.544,70.1394,58.1321,14.0509,5.7544,78.7019,184.7841,73.9435,149.0404,"Female"
"Japan",1961,49942.971,345.564,70.8298,58.5473,14.1967,5.7504,71.9124,174.7672,68.8175,142.2483,"Female"
"Japan",1962,50348.968,350.479,71.1393,58.6577,14.0875,5.6169,66.4983,167.6174,65.1134,137.371,"Female"
"Japan",1963,50761.026,328.082,72.2822,59.4834,14.6533,6.0056,58.8999,155.0909,60.6246,128.7188,"Female"
"Japan",1964,51191.814,327.666,72.7608,59.7615,14.7464,6.0421,54.2601,147.8546,57.9529,123.7996,"Female"
"Japan",1965,51678.554,340.449,72.8456,59.6901,14.5401,5.7685,50.8388,143.1282,55.6232,120.8506,"Female"
"Japan",1966,52122.749,322.476,73.6497,60.325,15.0367,6.1496,47.2807,135.4061,52.7763,115.1705,"Female"
"Japan",1967,52613.884,326.611,73.9928,60.6219,15.194,6.1908,45.402,130.5681,50.4908,110.9042,"Female"
"Japan",1968,53211.992,330.469,74.2827,60.7861,15.2617,6.1929,42.714,126.6539,48.8752,108.4647,"Female"
"Japan",1969,53782.78,330.7,74.629,61.043,15.4558,6.34,41.2949,123.2225,48.2473,106.1258,"Female"
"Japan",1970,54358.588,342.429,74.6827,61.0316,15.3636,6.2577,39.6987,120.5059,47.1331,104.1571,"Female"
"Japan",1971,54910.994,328.112,75.4822,61.7909,15.9067,6.5621,37.5593,112.8871,43.6966,97.0609,"Female"
"Japan",1972,55470.507,328.092,75.9389,62.1652,16.1842,6.7183,35.7852,108.8757,42.5675,94.0582,"Female"
"Japan",1973,56105.466,340.732,76.0241,62.2159,16.1061,6.4992,34.4847,105.7801,41.1878,91.3453,"Female"
"Japan",1974,56775.913,342.625,76.3653,62.48,16.2216,6.5411,32.4595,100.9423,39.2778,87.4388,"Female"
"Japan",1975,57420.582,337.316,76.8734,62.9087,16.5325,6.6887,30.4209,96.7567,37.5277,84.2301,"Female"
"Japan",1976,58004.762,336.459,77.2882,63.2701,16.7277,6.7611,28.4245,91.8597,35.2632,79.9802,"Female"
"Japan",1977,58532.085,329.299,77.8625,63.8107,17.1421,7.0718,26.8509,87.0718,33.2448,75.6367,"Female"
"Japan",1978,59025.667,331.7,78.2213,64.114,17.3563,7.1849,25.8798,83.9649,32.3744,73.2117,"Female"
"Japan",1979,59490.912,327.297,78.7612,64.6025,17.7679,7.4472,24.4197,80.8104,31.3675,70.7153,"Female"
"Japan",1980,59900.959,343.97,78.7647,64.572,17.6633,7.2958,23.4551,78.7784,30.1366,69.069,"Female"
"Japan",1981,60215.894,344.064,79.1696,64.9512,17.9646,7.4904,22.6061,75.9375,29.1565,66.5614,"Female"
"Japan",1982,60467.547,339.263,79.7247,65.4609,18.4213,7.8065,21.6401,73.4226,28.3698,64.6178,"Female"
"Japan",1983,60706.83,352.533,79.8296,65.5388,18.4648,7.7605,21.3278,72.051,28.0005,63.5696,"Female"
"Japan",1984,60933.776,352.096,80.2603,65.9389,18.7951,7.9797,20.4577,69.8504,27.563,61.7605,"Female"
"Japan",1985,61167.76,358.037,80.5448,66.1867,18.9996,8.095,19.4296,68.0265,26.5122,60.3803,"Female"
"Japan",1986,61444.073,356.889,80.9786,66.5884,19.3335,8.2919,18.8813,65.6759,26.0448,58.4333,"Female"
"Japan",1987,61741.562,353.854,81.431,67.0149,19.7021,8.5384,17.9006,63.5815,24.7974,56.6709,"Female"
"Japan",1988,62017.763,374.365,81.3282,66.9095,19.5589,8.3721,17.9008,62.9635,24.6901,56.067,"Female"
"Japan",1989,62263.9,368.398,81.8003,67.3642,19.9798,8.6865,17.3907,61.6139,23.9974,54.943,"Female"
"Japan",1990,62500.626,382.981,81.8645,67.4205,19.9823,8.6579,17.0272,60.0643,23.5971,53.4865,"Female"
"Japan",1991,62761.827,382.375,82.1772,67.7354,20.2794,8.8946,16.5943,59.6504,22.972,53.0794,"Female"
"Japan",1992,63032.849,399.029,82.2972,67.8461,20.3974,8.9838,16.5556,59.002,22.9818,52.53,"Female"
"Japan",1993,63284.764,414.394,82.4479,68.0053,20.5134,9.0886,16.1229,58.1171,22.5127,51.5441,"Female"
"Japan",1994,63531.14,415.602,82.8995,68.4242,20.8873,9.3406,15.7492,56.1562,21.9456,50.0064,"Female"
"Japan",1995,63746.396,439.829,82.78,68.3174,20.8612,9.3525,16.3693,58.0422,22.9134,51.7243,"Female"
"Japan",1996,63919.583,425.796,83.4974,68.9762,21.4389,9.8203,14.933,54.8727,21.7304,49.2841,"Female"
"Japan",1997,64087.897,433.936,83.7321,69.208,21.6547,9.9497,14.9037,54.2962,21.6228,48.7611,"Female"
"Japan",1998,64255.726,442.846,83.9208,69.4015,21.8676,10.1344,15.3861,54.6932,21.9065,49.113,"Female"
"Japan",1999,64409.936,467.227,83.9158,69.3501,21.8001,10.0571,14.6384,53.9753,21.5837,48.9228,"Female"
"Japan",2000,64550.719,455.429,84.5192,69.9324,22.3371,10.4966,14.2049,52.4511,21.1139,47.6856,"Female"
"Japan",2001,64697.039,459.449,84.8445,70.2405,22.5975,10.6956,13.6235,51.0101,20.5068,46.4468,"Female"
"Japan",2002,64842.965,465.037,85.143,70.54,22.8661,10.9001,13.5841,50.0037,19.9875,45.4355,"Female"
"Japan",2003,64972.061,482.049,85.2435,70.6401,22.9471,10.9249,13.6925,49.5,19.9483,44.939,"Female"
"Japan",2004,65081.092,490.371,85.5007,70.8553,23.187,11.1046,13.1602,49.4149,20.0169,45.3591,"Female"
"Japan",2005,65169.332,519.282,85.4076,70.7609,23.0837,10.9928,13.3676,49.1489,20.2031,45.0918,"Female"
"Japan",2006,65249.425,525.541,85.6959,71.0491,23.3238,11.1727,13.0913,48.1595,19.8503,44.1172,"Female"
